Trial,Task Completion Time (s),RMS Cartesian Error (mm),Max Cartesian Error (mm),Peak Force (N),Peak Joint Torque (Nm),Joint Temperature (°C),Success,Planning Time (ms),CPU Utilization (%)
75,31.901274479551276,5.415036198995028,7.433527547947078,5.0,19.93490314050385,49.14702790591745,True,170.72380241068,36.81306436346741
76,49.10951252187612,6.240774873554036,9.702878347817308,2.8861219496895605,14.252891881330864,33.944323454960575,True,231.60925389823518,45.94508265553776
77,45.435235341190854,5.0195028378168605,8.21856253339033,4.1978565093765425,16.7296708891673,46.17807279054283,True,171.5180333350417,47.102521239949276
78,43.50496324767066,7.1803011157359755,9.58008423857718,3.6466736045906814,15.933750463630608,48.85432596943483,True,278.97146194512175,37.146268531252616
79,45.458803882677515,4.603014750143066,7.6728168351330845,5.0,24.236642425365712,37.60706877110079,True,214.79953702642666,35.838222134478855
80,35.06215542699554,9.080253749884427,11.694940153022667,2.853361371715879,18.35872473430373,50.71877021603464,True,205.54508371084623,42.35707778193202
81,43.90164056081244,5.938501021647509,9.052018366898757,2.828222526255379,14.6162472255577,46.69248203747207,True,174.2492665945636,37.23888477859514
82,46.78556285755873,3.7142636653755763,7.376394339896622,3.020485883644782,12.133378678198723,42.923560430495996,True,221.00929638226975,43.164659088777555
83,52.38947022370758,3.3936612529083314,7.9796780690536835,1.8008834205521544,10.180661039227282,48.163909330531425,True,182.73086521286677,41.0146151042565
84,42.40864890863176,5.723708622864778,7.485893124037929,3.079395982655391,15.61039090760167,56.35346428902198,True,203.66029443936085,32.42127942501384
85,40.95753198553406,4.664805822011224,9.79783919666749,2.8926938707570415,12.73094776414709,45.90933127529247,True,276.80253614806384,47.737526006650306
86,42.491214782077314,6.071000741138138,7.118912941615636,3.6203150291809663,10.733238871206979,46.24110293150168,True,197.1182030082605,48.97938836547761
87,49.57701058851037,5.709856436860317,8.558071341824734,3.7734047806217275,13.06028134727242,42.70319550229878,True,234.47819978857027,36.93605654757807
88,46.64375554829842,4.890756631014691,8.479073837499268,5.0,11.755355989156815,40.75077815267604,True,178.90470724622338,38.06149220032008
89,42.351198981164806,3.7298094228973926,7.0108012906324255,4.26033907054884,20.061424905217695,49.15167908272123,True,198.95034528509115,41.429326953624525
90,47.56633716556678,2.727729162971203,5.105029643150609,3.0384770754700776,17.64491927084835,40.719580870455665,True,253.1240190690653,41.67228394993513
91,45.4853877467402,4.330227571899468,7.122105321542193,2.7812682629213135,14.976082076050147,45.35783118609696,True,181.190988266367,43.29272136336415
92,49.84322495266444,6.284598191485209,8.791597256826376,3.8935353372052046,19.43983241667008,42.61171276617441,True,254.37345673990785,50.05102269383175
93,41.48973453061324,5.321140616195306,7.731775859251094,2.443813434383486,15.232104922942854,47.39489912873196,True,221.23255806366427,39.11526386252975
94,43.36168926701116,3.131391831932018,6.980993928953042,4.965167012683483,12.416147396015209,46.668310526434745,False,183.12599672317197,36.00851377730773
95,43.03945923433921,5.259771388776773,8.61678687474182,4.443552096577029,19.56937223180897,50.1876997212895,True,218.97223217166564,33.10340385992736
96,37.68242525933941,5.577976069593255,7.885066474332601,3.1246594783162362,16.616730131053977,42.44991800572627,True,229.17663348880188,36.34534980029041
97,46.48060138532288,3.6742138456983007,7.573813721131551,2.129492376727298,11.88826153702063,43.65062532353314,True,218.6542988665159,39.83436513563102
98,46.30527636089945,5.230587658918292,8.537887179794902,4.58309789933233,14.428983965749175,40.106181421088465,True,152.89325840328632,48.97278931758894
99,45.025567283212304,5.087313077669,8.90017519650796,3.4083681237979055,12.373145239845728,42.778533699619445,True,178.18588472525394,37.41194350481914
100,43.82706433312426,3.2855445532540655,6.9151733951776775,4.49025304957877,10.851600807106992,46.88650246522426,True,192.57444093345487,41.11893975819449
